"Export for HP:0012823"
"Gene","Associated diseases"
"NHLRC1 (378884)","MYOCLONIC EPILEPSY OF LAFORA (OMIM:254780)"
"GPHN (10243)","Hereditary hyperekplexia (ORPHA:3197), HYPEREKPLEXIA, HEREDITARY (OMIM:149400), MOLYBDENUM COFACTOR DEFICIENCY, COMPLEME... (OMIM:615501)"
"MAG (4099)","SPASTIC PARAPLEGIA 75, AUTOSOMAL RECESSI... (OMIM:616680)"
"UBA5 (79876)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:617133), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:617132)"
"GP6 (51206)","BLEEDING DISORDER, PLATELET-TYPE, 11 (OMIM:614201)"
"CLN8 (2055)","CEROID LIPOFUSCINOSIS, NEURONAL, 8 (OMIM:600143), Progressive epilepsy-intellectual disabi... (ORPHA:1947), CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORT... (OMIM:610003)"
"EPS8 (2059)","DEAFNESS, AUTOSOMAL RECESSIVE 102 (OMIM:615974)"
"AARS (16)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:613287), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616339)"
"GLRX5 (51218)","ANEMIA, SIDEROBLASTIC, 3, PYRIDOXINE-REF... (OMIM:616860), ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REF... (OMIM:205950), SPASTICITY, CHILDHOOD-ONSET, WITH HYPERG... (OMIM:616859)"
"ERBB4 (2066)","AMYOTROPHIC LATERAL SCLEROSIS 19 (OMIM:615515), Amyotrophic lateral sclerosis (ORPHA:803)"
"ERCC1 (2067)","COFS syndrome (ORPHA:1466), CEREBROOCULOFACIOSKELETAL SYNDROME 4 (OMIM:610758)"
"SLC29A3 (55315)","HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDR... (OMIM:602782), H syndrome (ORPHA:168569), Dysosteosclerosis (ORPHA:1782)"
"RPL35A (6165)","Blackfan-Diamond anemia (ORPHA:124), DIAMOND-BLACKFAN ANEMIA 5 (OMIM:612528)"
"ABCA3 (21)","SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:610921), Idiopathic pulmonary fibrosis (ORPHA:2032)"
"ABCB7 (22)","ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELL... (OMIM:301310), X-linked sideroblastic anemia and ataxia (ORPHA:2802)"
"SF3B4 (10262)","Acrofacial dysostosis, Rodríguez type (ORPHA:1788), ACROFACIAL DYSOSTOSIS 1, NAGER TYPE (OMIM:154400), Nager syndrome (ORPHA:245)"
"ERCC4 (2072)","XFE PROGEROID SYNDROME (OMIM:610965), FANCONI ANEMIA, COMPLEMENTATION GROUP Q (OMIM:615272), Xeroderma pigmentosum-Cockayne syndrome ... (ORPHA:220295), Fanconi anemia (ORPHA:84), TRACHEOESOPHAGEAL FISTULA WITH OR WITHOU... (OMIM:189960), Xeroderma pigmentosum (ORPHA:910), XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278760)"
"ERCC5 (2073)","CEREBROOCULOFACIOSKELETAL SYNDROME 3 (OMIM:616570), Xeroderma pigmentosum-Cockayne syndrome ... (ORPHA:220295), COFS syndrome (ORPHA:1466), Xeroderma pigmentosum (ORPHA:910), XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278780)"
"ERCC6 (2074)","COFS syndrome (ORPHA:1466), CEREBROOCULOFACIOSKELETAL SYNDROME 1 (OMIM:214150), PREMATURE OVARIAN FAILURE 11 (OMIM:616946), COCKAYNE SYNDROME, TYPE B (OMIM:133540), DE SANCTIS-CACCHIONE SYNDROME (OMIM:278800), UV-SENSITIVE SYNDROME 1 (OMIM:600630)"
"UFSP2 (55325)","Hip dysplasia, Beukes type (ORPHA:2114), HIP DYSPLASIA, BEUKES TYPE (OMIM:142669)"
"STUB1 (10273)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:615768)"
"ACADS (35)","ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEF... (OMIM:201470)"
"ACADSB (36)","2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICI... (OMIM:610006)"
"SIGMAR1 (10280)","SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOM... (OMIM:605726), AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENI... (OMIM:614373), Juvenile amyotrophic lateral sclerosis (ORPHA:300605)"
"MAPT (4137)","PICK DISEASE OF BRAIN (OMIM:172700), FRONTOTEMPORAL DEMENTIA (OMIM:600274), Progressive non-fluent aphasia (ORPHA:100070), PARKINSON-DEMENTIA SYNDROMESUPRANUCLEAR ... (OMIM:260540), Behavioral variant of frontotemporal dem... (ORPHA:275864), SUPRANUCLEAR PALSY, PROGRESSIVE, 1 (OMIM:601104)"
"PYROXD1 (79912)","MYOPATHY, MYOFIBRILLAR, 8 (OMIM:617258)"
"MARS (4141)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:616280), INTERSTITIAL LUNG AND LIVER DISEASE (OMIM:615486)"
"USP9X (8239)","MENTAL RETARDATION, X-LINKED 99, SYNDROM... (OMIM:300968), MENTAL RETARDATION, X-LINKED 99 (OMIM:300919), X-linked non-syndromic intellectual disa... (ORPHA:777)"
"SPEG (10290)","MYOPATHY, CENTRONUCLEAR, 5 (OMIM:615959)"
"ACO2 (50)","OPTIC ATROPHY 9 (OMIM:616289), INFANTILE CEREBELLAR-RETINAL DEGENERATIO... (OMIM:614559)"
"ACOX1 (51)","Peroxisomal acyl-CoA oxidase deficiency (ORPHA:2971), PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY (OMIM:264470)"
"FRMD7 (90167)","NYSTAGMUS 1, CONGENITAL, X-LINKED (OMIM:310700)"
"ACP5 (54)","SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE D... (OMIM:607944), Spondyloenchondrodysplasia (ORPHA:1855)"
"NCF1 (653361)","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMA... (OMIM:233700), Chronic granulomatous disease (ORPHA:379)"
